DSGN Restaurant Outlines.kml	DSGN Restaurant Outlines
DOMA Liquors	-71.12065220916293,42.37177317263527,0 -71.12066762830965,42.37175513307636,0 -71.12066137467184,42.37173704778344,0 -71.12056557610845,42.37169916836073,0 -71.12054262040314,42.37170196018605,0 -71.1205064697248,42.37168955013786,0 -71.12050020374529,42.37167842356755,0 -71.12041634656943,42.37164276456038,0 -71.12038422836552,42.37168459381644,0 -71.120354562515,42.37167124769302,0 -71.12033128586704,42.37169984372166,0 -71.12036231446572,42.37171294404646,0 -71.12033443716622,42.37175350457055,0 -71.120418637683,42.37178723951351,0 -71.1204324244846,42.3717843196923,0 -71.12046961305603,42.37179820116162,0 -71.12048060824556,42.37181741605824,0 -71.12057326371689,42.37185366796302,0 -71.12059688997397,42.37184967884048,0 -71.12060953198909,42.37183211930395,0 -71.12060517756122,42.3718172120055,0 -71.12063507224457,42.37177616207325,0 -71.12065220916293,42.37177317263527,0
Mela	-71.07259879746306,42.34330985961625,0 -71.07251410387796,42.34323215557202,0 -71.07246504571479,42.34326708604096,0 -71.07253467848243,42.34332917780262,0 -71.07255897845219,42.34333092716238,0 -71.07259879746306,42.34330985961625,0
Bin 26 Enoteca	-71.07000217631521,42.35669646604904,0 -71.06995463774618,42.35670877999842,0 -71.06997967225401,42.35675496112663,0 -71.06990548613932,42.35677772748198,0 -71.06992554058839,42.35681409079378,0 -71.0700481380517,42.35677839890194,0 -71.07000217631521,42.35669646604904,0
Oleana	-71.09728841365103,42.37055354513127,0 -71.09717302207099,42.3704572595523,0 -71.09703759898457,42.37054124172079,0 -71.09715311253517,42.37063351169269,0 -71.09728841365103,42.37055354513127,0
Cambridge 1	-71.11971026437747,42.37444536360546,0 -71.11973551518992,42.37454631372414,0 -71.11995877863552,42.37455411951355,0 -71.1199531176121,42.37445314620354,0 -71.11971026437747,42.37444536360546,0
Menton	-71.04799890272648,42.35059026777348,0 -71.04817013193137,42.35071786549931,0 -71.04841557994477,42.35048376155468,0 -71.04817732750405,42.35033316807346,0 -71.04799890272648,42.35059026777348,0
Drink	-71.04841628594998,42.3504849758804,0 -71.04816907233905,42.35071594201356,0 -71.04824662437132,42.35076164798583,0 -71.04850104539864,42.35054587770477,0 -71.04841628594998,42.3504849758804,0
Mantra	-71.06166374927679,42.35511213911683,0 -71.06154111291444,42.35505518902808,0 -71.06135837445169,42.35523650948851,0 -71.06133428538494,42.3552205049193,0 -71.0612550049553,42.35531292509958,0 -71.0614523231219,42.35540696088784,0 -71.0615267574416,42.35531112069468,0 -71.06149310326694,42.35528981698405,0 -71.06166374927679,42.35511213911683,0
Upper Crust	-71.0700001070788,42.35669611168416,0 -71.06996598939139,42.3566277605407,0 -71.06984102246017,42.35666375293549,0 -71.06987998005839,42.35673208748486,0 -71.0700001070788,42.35669611168416,0
Clover	-71.11908625189854,42.37249897915895,0 -71.1191587142004,42.37237571627096,0 -71.11898495999071,42.37232232163227,0 -71.11891686644968,42.37244739257315,0 -71.11908625189854,42.37249897915895,0
Fin's Sushi	-71.0953432227803,42.34970729248324,0 -71.09521288570019,42.34945225948266,0 -71.09520322441611,42.3494388926758,0 -71.09518872797092,42.34942998735672,0 -71.09517423975973,42.34942820952044,0 -71.09516217054556,42.34942999378688,0 -71.09515493231935,42.34943444869155,0 -71.09514890325057,42.34944157534369,0 -71.09514649496819,42.34944870160633,0 -71.09514528995376,42.34945493817864,0 -71.09528382151657,42.3497249784422,0 -71.0953432227803,42.34970729248324,0
Foumani	-71.05457546878384,42.35604949215092,0 -71.05453677005589,42.35601100603426,0 -71.05386474168522,42.35639724344892,0 -71.05390308738475,42.35643587696858,0 -71.05457546878384,42.35604949215092,0
Meyers + Chang	-71.06643360252603,42.34388896286032,0 -71.06649591017202,42.34382484893672,0 -71.06640973939008,42.34377683278147,0 -71.06638606136455,42.34379733686968,0 -71.06633863461005,42.34377033073535,0 -71.06627701621625,42.34383037098824,0 -71.06621400412848,42.34393050134202,0 -71.06623974024706,42.34394003392181,0 -71.06622009452882,42.34396505896346,0 -71.06635906482461,42.34400875917053,0 -71.06643360252603,42.34388896286032,0
Sportello	-71.04857362384385,42.35058529237038,0 -71.04850105004185,42.35054140069379,0 -71.04824783707326,42.35076254524065,0 -71.04832298076893,42.35081094872484,0 -71.04857362384385,42.35058529237038,0
Middlesex Lounge	-71.09847626264815,42.36246651390482,0 -71.09834414285837,42.36258103592698,0 -71.09838624249616,42.36260923239715,0 -71.09852105757629,42.36249444309029,0 -71.09847626264815,42.36246651390482,0
